Text_clean,Idioma_Tecnica,Texto_Original,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsReligiousHate,sentiment_label,sentiment_score
people step case wasn people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency,en_original,people step case wasn people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency,0,False,False,False,False,False,False,False,False,False,1 star,0.7528213262557983
La gente pasa el caso no era la situación de la gente Mess Matter Matter Haz amable protesta de la investigación egoísta de pensamiento racional Video Video muy emocional Quera escuchar ¿Escuchar escear Discusión razonable Discusión Kudo Smerconish Mantenga el Tiempo de nivel Manténgase de Masri Dare Tear City Dishonor Incidente completo Incidente de Odio Police Brutalidad Espedemia Deseo de detener la Falta de Detente de la Policía de la Policía de la Policía de la Policía de la Policía de la Policía de la Policía. El trabajo sabe que la gente se pone de acuerdo con las acciones responsables de la gente odia a la policía de la policía emergencia,es_translation,people step case wasn people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency,0,False,False,False,False,False,False,False,False,False,1 star,0.3783870339393616
"Les personnes étapes de l'étape n'étaient pas les gens situation en morceaux mess Match Match Hakes Gatin Protestation Ségissièrement rationnel Enquête Guy Vidéo Forairement émotionnel Hype Want Entendre GET ENVER PRESS jerk tire respect job sache les gens vont mouiller tenir des mesures responsables, les gens détestent la police besoin d'officier urgence",fr_translation,people step case wasn people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency,0,False,False,False,False,False,False,False,False,False,1 star,0.45178112387657166
law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,en_original,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,1,True,False,False,False,False,False,False,False,False,1 star,0.7972633242607117
"Sesga de trenes de la ley Trawend Train Shoot Kill, gracias a Wilson Kill Punk Bitch",es_translation,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,1,True,False,False,False,False,False,False,False,False,1 star,0.26894477009773254
Le tournage du train d'application de la loi appréhende le tournage du train tuer merci wilson tuer punk bitch,fr_translation,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,1,True,False,False,False,False,False,False,False,False,1 star,0.249265655875206
Strafverfolgung Zug Dreh Shooting Zug Shoot Tötung Danke Wilson Kill Punk Schlampe,de_translation,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,1,True,False,False,False,False,False,False,False,False,1 star,0.7118651270866394
reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look nice black people race actually world pussyfootin fear racist fuckin daft man,en_original,reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look nice black people race actually world pussyfootin fear racist fuckin daft man,1,True,False,False,True,False,False,False,False,False,1 star,0.5092126727104187
"Reckon Black Life Matter Banner sostenga el coño blanco un poco condescendiente irónicamente racista vengo bien, bien blanco, folk auto orgullo ooo se vean bonitas carreras negras en realidad pussyfootin miedo racista",es_translation,reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look nice black people race actually world pussyfootin fear racist fuckin daft man,1,True,False,False,True,False,False,False,False,False,3 stars,0.4232785999774933
Reckon Black Life Matter Banner Host White Cunt un peu condescendant ironiquement raciste Come Somethin bien blanc Folk Self Pride Ooo Look Nice People Black Race en fait le monde Pussyfootin Fear Racist Fuckin Daft Man,fr_translation,reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look nice black people race actually world pussyfootin fear racist fuckin daft man,1,True,False,False,True,False,False,False,False,False,2 stars,0.2924135625362396
