VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsReligiousHate
04kJtp6pVXI,if only people would just take a step back and not make this case about them because it was not about anyone except the two people in that situation to lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation the guy in this video is heavily emotional and hyped up and wants to be heard and when he gets heard he just presses more and more he was never out to have a reasonable discussion kudos to the smerconish for keeping level the whole time and letting masri make himself out to be a fool how dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate by the way since when did police brutality become an epidemic i wish everyone would just stop pretending like they were there and they knew exactly what was going on because there is no measurable amount of people that honestly witnessed this incident so none of us have a clue on which way this whole issue should have swung the grand jury were the most informed we have to trust the majority rule was the right course of action and let it be also thank you to the 99 999 of police officers in america that actually serve protect even if you are a bit of a jerk when you pull me over i respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions people hate police until they need an officer or two around in an emergency,False,False,False,False,False,False,False,False,False,False
04kJtp6pVXI,law enforcement is not trained to shoot to apprehend they are trained to shoot to kill and i thank wilson for killing that punk bitch,True,True,False,False,False,False,False,False,False,False
04kJtp6pVXI,do not you reckon them black lives matter banners being held by white cunts is kind of patronizing and ironically racist could they have not come up with somethin better or is it just what white folks do to give them selves pride ooo look at me i am being nice for the black people why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist its fuckin daft man,True,True,False,False,True,False,False,False,False,False
04kJtp6pVXI,there are a very large number of people who do not like police officers they are called criminals and its the reason we have police officers the fact that criminals do not like police officers is a testament to the good work that police officers do in protecting the public when our children or our family are in danger we do not hessitate to call for help and we call the police its about time people stopped complaining and started to give the police some respect for the hard work and dedication that often requires them to put their lives on the line to serve the public,False,False,False,False,False,False,False,False,False,False
04kJtp6pVXI,the arab dude is absolutely right he should have not been shot 6 extra time shoot him once if hes attacking you and that would stop his attack shoot him twice if he is still attacking you but six times that is shoot to kill in my opinion,False,False,False,False,False,False,False,False,False,False
04kJtp6pVXI,here people his facebook is he has ties with isis and other terrorist groups he is a muslim extremist,True,False,False,False,False,True,False,False,False,True
04kJtp6pVXI,check out this you tube post black man goes on an epic rant against ferguson rioters although his message is delivered with childish cartoon ish emotions he is one of the very few african american s who gets it,True,False,False,False,False,True,True,False,False,False
04kJtp6pVXI,i would love to see this pussy go to staten island and spit on a cop i would love to see it happen mike brown was a strong arm thug and people are burning ferguson down eric garnier did nothing wrong and was choked to death no protest on mafia controlled staten island no burning cars nothing,True,True,False,False,True,True,True,False,False,False
04kJtp6pVXI,i agree with the protestor,False,False,False,False,False,False,False,False,False,False
04kJtp6pVXI,mike browns father was made to say that boooshit,True,True,False,False,True,False,False,False,False,False
04kJtp6pVXI,the guy on the right is so on point do not judge on his speaking abilities but judge him on his messege you racist fucks can suck my dick and like always the media focusing on the thing that do not matter cnn is shit,True,True,False,False,True,False,False,False,False,False
04kJtp6pVXI,moral of the story do not reach for a cops gun because you are probably gunna get shot white or black,False,False,False,False,False,False,False,False,False,False
04kJtp6pVXI,masri is about as close as you can get to isis in america,True,True,False,False,False,False,False,False,False,False
